hashtag,deventer,2.42E-05,8.74E-05,0.002002889,5.89E-05,2.75E-05,3.35E-05,2.18E-05,3.46E-06,6.06E-05,2.83E-04,2.17E-05,9.26E-05
description,twente,7.39E-06,2.62E-05,0.001456071,1.22E-05,9.22E-06,1.75E-05,3.14E-05,1.36E-05,8.81E-05,8.73E-05,2.60E-05,1.85E-05
hashtag,assen,2.89E-05,4.67E-05,1.41E-04,4.57E-05,9.22E-06,5.04E-04,1.52E-04,1.24E-05,0.003948019,3.34E-05,2.69E-05,4.46E-05
tweet,rotterdamse,1.71E-04,1.71E-04,1.15E-04,2.82E-04,1.57E-04,1.22E-04,7.00E-05,8.70E-05,4.16E-05,1.42E-04,0.001590363,2.38E-04
tweet,gouda,1.40E-04,1.97E-04,1.77E-04,2.14E-04,5.94E-05,6.57E-05,1.24E-04,8.21E-05,4.45E-05,1.87E-04,0.001917303,5.15E-04
tweet,050,1.39E-05,1.12E-04,3.64E-05,4.63E-05,9.22E-06,0.003305372,9.38E-05,3.46E-06,4.32E-04,3.84E-05,2.57E-05,3.12E-05
tweet,psv,0.003644767,0.001013768,0.001356256,8.96E-04,0.001022048,0.001031663,0.001158251,0.001680145,0.001312229,0.001194962,9.66E-04,0.001009955
tweet,goes,3.34E-04,1.29E-04,2.35E-04,3.33E-04,0.008416421,1.92E-04,1.72E-04,2.83E-04,2.29E-04,2.27E-04,3.11E-04,3.08E-04
hashtag,emmen,2.16E-05,8.14E-05,1.48E-04,3.28E-05,9.22E-06,3.56E-04,3.67E-05,2.75E-05,0.003842402,3.43E-05,1.23E-05,2.48E-05
hashtag,amersfoort,4.25E-05,2.67E-04,1.43E-04,1.05E-04,6.96E-05,8.09E-05,2.97E-05,4.26E-05,8.15E-05,2.38E-04,9.08E-05,0.001757775
tweet,dam,7.53E-04,0.001117394,5.96E-04,0.002617965,6.11E-04,8.08E-04,6.25E-04,6.42E-04,5.14E-04,7.14E-04,0.001486181,0.001178021
tweet,limburgse,2.80E-04,8.99E-05,1.57E-04,1.28E-04,1.50E-04,8.25E-05,8.71E-05,0.003370796,9.95E-05,1.86E-04,9.18E-05,2.03E-04
tweet,parool,1.40E-04,2.48E-04,1.28E-04,0.001650263,9.91E-05,1.05E-04,1.11E-04,9.29E-05,1.31E-04,1.95E-04,2.44E-04,3.84E-04
tweet,schiedam,5.50E-05,9.58E-05,7.44E-05,1.15E-04,1.72E-04,4.03E-05,4.73E-05,4.34E-05,2.02E-05,8.59E-05,0.001580599,1.29E-04
tweet,groningse,6.07E-05,1.38E-04,8.46E-05,1.45E-04,3.86E-05,0.002605757,2.16E-04,6.34E-05,6.22E-04,1.00E-04,1.25E-04,1.21E-04
tweet,brabantse,0.001695912,8.05E-05,1.28E-04,1.52E-04,4.05E-04,1.00E-04,8.25E-05,2.22E-04,1.09E-04,1.68E-04,1.81E-04,2.02E-04
tweet,drentse,3.83E-05,1.93E-04,7.12E-05,5.90E-05,9.22E-06,4.65E-04,1.75E-04,1.53E-05,0.003600991,6.24E-05,5.70E-05,6.58E-05
